setting_id,model,n_estimators,max_features,min_samples_leaf,class_weight,feature_count,train_rows,test_rows,overall_agreement,balanced_accuracy,macro_f1,weighted_f1,reference_note,analysis_note
rf_01,S2-only,300,sqrt,1,balanced,56,4019,1723,0.7086477074869414,0.7080442186881826,0.7082313551012385,0.7085640175862101,CROME treated as a reference crop-map product rather than direct ground truth,"Limited Random Forest sensitivity check; robustness check, not hyperparameter optimisation."
rf_01,S1+S2,300,sqrt,1,balanced,72,4019,1723,0.7904817179338364,0.7904985113704588,0.7911372350824668,0.7910572223953343,CROME treated as a reference crop-map product rather than direct ground truth,"Limited Random Forest sensitivity check; robustness check, not hyperparameter optimisation."
rf_02,S2-only,300,sqrt,1,balanced_subsample,56,4019,1723,0.709808473592571,0.7094138653996084,0.7100242963925797,0.7102571666369178,CROME treated as a reference crop-map product rather than direct ground truth,"Limited Random Forest sensitivity check; robustness check, not hyperparameter optimisation."
rf_02,S1+S2,300,sqrt,1,balanced_subsample,72,4019,1723,0.7887405687753918,0.788839092219709,0.7895222720391526,0.7894665941918769,CROME treated as a reference crop-map product rather than direct ground truth,"Limited Random Forest sensitivity check; robustness check, not hyperparameter optimisation."
rf_03,S2-only,300,sqrt,3,balanced,56,4019,1723,0.7074869413813116,0.7069892140542136,0.7069054617039808,0.7071662972349887,CROME treated as a reference crop-map product rather than direct ground truth,"Limited Random Forest sensitivity check; robustness check, not hyperparameter optimisation."
rf_03,S1+S2,300,sqrt,3,balanced,72,4019,1723,0.7823563551944284,0.7824247374640517,0.7832740176775446,0.7832365390744899,CROME treated as a reference crop-map product rather than direct ground truth,"Limited Random Forest sensitivity check; robustness check, not hyperparameter optimisation."
rf_04,S2-only,300,sqrt,3,balanced_subsample,56,4019,1723,0.7051654091700522,0.704703431205447,0.7055201167538202,0.7056821946151238,CROME treated as a reference crop-map product rather than direct ground truth,"Limited Random Forest sensitivity check; robustness check, not hyperparameter optimisation."
rf_04,S1+S2,300,sqrt,3,balanced_subsample,72,4019,1723,0.7858386535113174,0.7858534983946703,0.7864838612698701,0.7864743712124388,CROME treated as a reference crop-map product rather than direct ground truth,"Limited Random Forest sensitivity check; robustness check, not hyperparameter optimisation."
rf_05,S2-only,300,sqrt,5,balanced,56,4019,1723,0.702263493905978,0.7017060434339384,0.7015958879888804,0.7018522741331688,CROME treated as a reference crop-map product rather than direct ground truth,"Limited Random Forest sensitivity check; robustness check, not hyperparameter optimisation."
rf_05,S1+S2,300,sqrt,5,balanced,72,4019,1723,0.783517121300058,0.7835614203974731,0.7842961245364812,0.7842577371859634,CROME treated as a reference crop-map product rather than direct ground truth,"Limited Random Forest sensitivity check; robustness check, not hyperparameter optimisation."
